dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
1985.01,106.27,107.63,1057.54,2100.21,8.48,60,27.05,283.97,362.747,238.024,1657.97,1667.95,1212.39,1217.05
1985.02,107.23,108.77,1073.72,2118.7,7.92,60,27.86,289.7,370.883,241.672,1713.94,1712.67,1256.67,1253.02
1985.03,107.9,109.73,1096.69,2151.06,7.9,60.1,27.79,294.83,378.723,246.167,1776.51,1827.09,1297.69,1332.34
1985.04,109,111,1111.02,2167.05,8.1,60.4,29.19,301.67,384.49,249.108,1824.32,1876.67,1335.94,1372.3
1986.01,109.57,112.2,1126.97,2187.28,7.83,60.5,17,307.6,389.451,251.864,1936.22,2027.48,1401.74,1465.71
1986.02,109.03,113.13,1136.34,2197.13,6.92,60.6,13.92,313.87,395.754,258.276,1991.41,2158.18,1446.19,1565.88
1986.03,109.7,114.2,1151.92,2218.15,6.21,60.8,13.86,323.5,406.334,263.082,2055.06,2208.46,1495.96,1610.23
1986.04,110.47,115.3,1164.41,2230.05,6.27,60.9,15.38,332.8,406.356,260.626,2119.56,2296.3,1535.91,1663.9
1987.01,111.8,116.23,1180.54,2246.59,6.22,61.1,18.23,342.13,411.51,261.287,2205.42,2376.4,1594.38,1718.94
1987.02,113.07,117.63,1201.54,2270.81,6.65,61.4,19.36,346.73,417.894,265.279,2251.99,2388.93,1626.24,1727.19
1987.03,114.27,118.73,1221.14,2290.51,6.84,61.7,20.39,350.97,421.68,266.187,2301.26,2376.52,1644.28,1699.92
1987.04,115.33,120.1,1252,2329.83,6.92,61.9,18.67,354.67,430.085,272.475,2359.76,2391.73,1676.67,1700.22
1988.01,116.23,121.27,1268.34,2341.88,6.66,62,16.71,357.13,433.632,276.992,2429.85,2495.23,1724.39,1772.7
1988.02,117.57,122.73,1297.51,2372.65,7.16,62.2,17.28,361.8,437.517,277.203,2487.17,2561.07,1756.23,1810.69
1988.03,119,124.1,1320.71,2386.55,7.98,62.4,15.16,367.63,440.579,280.226,2540.46,2570.3,1773.57,1796.19
1988.04,120.3,125.6,1349.88,2418.35,8.47,62.6,14.68,369.47,452.73,287.968,2600.81,2631.22,1812.86,1836.44
1989.01,121.67,126.93,1377.81,2442.93,9.44,62.9,18.42,371.83,461.165,292.784,2680.22,2690.56,1850.08,1860.52
1989.02,123.63,128.3,1403.12,2461.57,9.73,62.9,20.36,371.1,470.594,298.552,2740.14,2731.49,1881.53,1878.98
1989.03,124.6,129.53,1423.84,2479.81,9.08,63,19.25,370.4,478.647,303.113,2792.64,2875.04,1901.31,1963.14
1989.04,125.87,131.1,1436.81,2484.69,8.61,63,20.33,373.9,486.586,307.389,2865.02,2941.33,1956.78,2014.65
1990.01,128.03,132.77,1468.18,2511.85,8.25,63.2,21.72,378.73,499.55,315.313,2950.39,3033.22,2010.49,2072.76
1990.02,129.3,134.5,1490.01,2520.96,8.24,63,17.9,383.1,508.285,321.878,3035.77,3057.22,2071.86,2089.85
1990.03,131.53,136.5,1503.78,2522.64,8.16,62.7,26.5,386.17,514.971,324.264,3135.9,3186.94,2123.47,2162.54
1990.04,133.77,138.07,1501.18,2499.68,7.74,62.3,31.85,390.83,532.618,329.449,3239.99,3274.08,2199.07,2224.42
1991.01,134.77,140.07,1508.79,2487.98,6.43,61.9,21.78,392.43,517.447,320.339,3368.97,3463.87,2288.26,2356.77
1991.02,135.57,141.33,1531.72,2507.38,5.86,61.8,20.75,397.8,536.944,336.4,3456.3,3559.9,2342.79,2417.73
1991.03,136.6,142.87,1551.48,2520.05,5.64,61.6,21.66,402.63,552.451,346.157,3537.35,3627.76,2389.55,2455.19
1991.04,137.73,144.2,1566.14,2528.83,4.82,61.4,21.74,404.6,559.801,353.336,3665.6,3821.04,2477.12,2588.21
1992.01,138.67,145.47,1590.78,2559.11,4.02,61.4,18.91,409.93,573.709,364.598,3786.13,3997.37,2549.94,2698.97
1992.02,139.73,146.73,1617.69,2586.86,3.77,61.5,21.19,416.7,581.642,369.111,3867.44,4029.17,2621.95,2738.26
1992.03,140.8,147.87,1641.66,2612.42,3.26,61.5,21.67,419.1,588.929,374.682,3976.57,4188.48,2690.62,2841.82
1992.04,142.03,149.2,1670.2,2639.66,3.04,61.4,20.48,425.6,594.956,380.467,4060.3,4317.55,2751.34,2934.17
1993.01,143.07,150.5,1682.36,2644.07,3.04,61.4,19.83,429.03,595.98,380.591,4159.01,4383.76,2806.05,2968.67
1993.02,144.1,151.77,1702.23,2659.46,3,61.7,19.76,430.93,599.529,383.165,4227.22,4523.36,2862.87,3077.72
1993.03,144.77,152.67,1720.52,2672.15,3.06,61.8,17.8,438.4,605.879,387.726,4332.83,4631.01,2918.01,3137.1
1993.04,145.97,153.87,1753.43,2708.5,2.99,61.9,16.45,442.43,611.364,393.092,4412.42,4759.98,2966.11,3223.99
1994.01,146.7,154.87,1778.91,2734.78,3.21,62.2,14.81,448,607.465,388.24,4518.51,4810.98,3030.29,3248.56
1994.02,147.53,155.93,1811.73,2771.84,3.94,62.4,17.78,449.63,615.08,391.966,4568.04,4714.03,3064.97,3180.16
1994.03,148.9,157.1,1832.77,2788.04,4.49,62.5,18.5,451.5,627.06,399.181,4630.49,4690.92,3098.66,3153.84
